tx_unix_ms(phone),rx_unix_ms(esp32),payload_counter,delta_ms,rssi_dbm,tx_device_name
1764012155629,1764012155009,142,-620,-61,A72Aziz
1764012155924,1764012156292,143,368,-61,A72Aziz
1764012156226,1764012156578,144,352,-60,A72Aziz
1764012156522,1764012156855,145,333,-61,A72Aziz
1764012157114,1764012157420,147,306,-67,A72Aziz
1764012157410,1764012157699,148,289,-68,A72Aziz
1764012158294,1764012158826,151,532,-61,A72Aziz
1764012158587,1764012158109,152,-478,-61,A72Aziz
1764012158884,1764012159393,153,509,-60,A72Aziz
1764012159179,1764012159736,154,557,-61,A72Aziz
1764012159474,1764012159953,155,479,-61,A72Aziz
1764012159770,1764012160236,156,466,-62,A72Aziz
1764012160064,1764012160699,157,635,-62,A72Aziz
1764012160357,1764012160836,158,479,-62,A72Aziz
1764012160650,1764012160136,159,-514,-62,A72Aziz
1764012160943,1764012161358,160,415,-62,A72Aziz
1764012161524,1764012161036,162,-488,-67,A72Aziz
1764012161827,1764012162200,163,373,-68,A72Aziz
1764012162097,1764012162636,164,539,-67,A72Aziz
1764012162389,1764012162985,165,596,-67,A72Aziz
1764012162685,1764012163236,166,551,-67,A72Aziz
1764012162984,1764012163351,167,367,-61,A72Aziz
1764012163279,1764012163606,168,327,-61,A72Aziz
1764012163572,1764012163889,169,317,-61,A72Aziz
1764012163870,1764012164172,170,302,-62,A72Aziz
1764012165919,1764012166419,177,500,-66,A72Aziz
1764012166215,1764012166720,178,505,-67,A72Aziz
1764012166510,1764012166980,179,470,-68,A72Aziz
1764012166808,1764012167265,180,457,-67,A72Aziz
1764012167104,1764012167543,181,439,-67,A72Aziz
1764012167401,1764012167822,182,421,-61,A72Aziz
1764012167698,1764012167107,183,-591,-62,A72Aziz
1764012167993,1764012168388,184,395,-62,A72Aziz
1764012168293,1764012168674,185,381,-62,A72Aziz
1764012168587,1764012168956,186,369,-62,A72Aziz
1764012168883,1764012169236,187,353,-61,A72Aziz
1764012169179,1764012169520,188,341,-60,A72Aziz
1764012169476,1764012169792,189,316,-61,A72Aziz
1764012169773,1764012169077,190,-696,-61,A72Aziz
1764012170959,1764012171483,194,524,-66,A72Aziz
1764012171254,1764012171768,195,514,-66,A72Aziz
1764012171552,1764012171049,196,-503,-67,A72Aziz
1764012171846,1764012172327,197,481,-60,A72Aziz
1764012172138,1764012172609,198,471,-60,A72Aziz
1764012172433,1764012172889,199,456,-60,A72Aziz
1764012172729,1764012173169,200,440,-61,A72Aziz
