tx_unix_ms(phone),rx_unix_ms(esp32),payload_counter,delta_ms,rssi_dbm,tx_device_name
1764012113750,1764012114172,0,422,-62,A72Aziz
1764012114026,1764012114393,1,367,-61,A72Aziz
1764012114305,1764012114677,2,372,-60,A72Aziz
1764012114601,1764012114968,3,367,-61,A72Aziz
1764012114896,1764012115234,4,338,-61,A72Aziz
1764012115194,1764012115515,5,321,-61,A72Aziz
1764012115489,1764012115806,6,317,-63,A72Aziz
1764012116678,1764012117199,10,521,-65,A72Aziz
1764012116973,1764012117488,11,515,-65,A72Aziz
1764012117269,1764012117770,12,501,-66,A72Aziz
1764012117561,1764012117046,13,-515,-66,A72Aziz
1764012117857,1764012118358,14,501,-61,A72Aziz
1764012118155,1764012118614,15,459,-61,A72Aziz
1764012118451,1764012119169,16,718,-61,A72Aziz
1764012118765,1764012119282,17,517,-62,A72Aziz
1764012119057,1764012119452,18,395,-62,A72Aziz
1764012119346,1764012119743,19,397,-62,A72Aziz
1764012119644,1764012119017,20,-627,-63,A72Aziz
1764012119940,1764012120300,21,360,-63,A72Aziz
1764012120234,1764012120580,22,346,-63,A72Aziz
1764012120528,1764012120860,23,332,-62,A72Aziz
1764012120821,1764012120143,24,-678,-62,A72Aziz
1764012121115,1764012121421,25,306,-66,A72Aziz
1764012122590,1764012122110,30,-480,-63,A72Aziz
1764012122884,1764012123393,31,509,-64,A72Aziz
1764012123181,1764012123756,32,575,-63,A72Aziz
1764012123475,1764012123071,33,-404,-62,A72Aziz
1764012123770,1764012124233,34,463,-63,A72Aziz
1764012124066,1764012124520,35,454,-61,A72Aziz
1764012124359,1764012124793,36,434,-61,A72Aziz
1764012124656,1764012124075,37,-581,-61,A72Aziz
1764012124950,1764012125362,38,412,-60,A72Aziz
1764012125247,1764012125638,39,391,-60,A72Aziz
1764012125536,1764012125920,40,384,-62,A72Aziz
1764012125817,1764012126201,41,384,-62,A72Aziz
1764012126115,1764012126497,42,382,-62,A72Aziz
1764012126410,1764012126764,43,354,-62,A72Aziz
1764012126706,1764012126046,44,-660,-62,A72Aziz
1764012127000,1764012127334,45,334,-62,A72Aziz
1764012127296,1764012127612,46,316,-62,A72Aziz
1764012127593,1764012127887,47,294,-60,A72Aziz
1764012128770,1764012129304,51,534,-62,A72Aziz
1764012129066,1764012129575,52,509,-61,A72Aziz
1764012129361,1764012129862,53,501,-61,A72Aziz
1764012129945,1764012130536,55,591,-61,A72Aziz
1764012130239,1764012130706,56,467,-62,A72Aziz
1764012130536,1764012131218,57,682,-61,A72Aziz
1764012130830,1764012131333,58,503,-64,A72Aziz
1764012131127,1764012131785,59,658,-64,A72Aziz
1764012131422,1764012131899,60,477,-61,A72Aziz
1764012131714,1764012131112,61,-602,-60,A72Aziz
1764012132002,1764012132394,62,392,-61,A72Aziz
1764012132302,1764012132677,63,375,-61,A72Aziz
1764012132598,1764012132952,64,354,-61,A72Aziz
1764012133187,1764012133513,66,326,-61,A72Aziz
1764012133484,1764012133799,67,315,-61,A72Aziz
1764012133780,1764012133079,68,-701,-61,A72Aziz
1764012134666,1764012135201,71,535,-66,A72Aziz
1764012134960,1764012135491,72,531,-66,A72Aziz
1764012135255,1764012135765,73,510,-66,A72Aziz
1764012135548,1764012135046,74,-502,-67,A72Aziz
1764012135832,1764012136327,75,495,-62,A72Aziz
1764012136126,1764012136610,76,484,-62,A72Aziz
1764012136420,1764012136899,77,479,-62,A72Aziz
1764012136714,1764012137236,78,522,-62,A72Aziz
1764012137003,1764012137454,79,451,-61,A72Aziz
1764012137602,1764012137017,81,-585,-60,A72Aziz
1764012137900,1764012138300,82,400,-61,A72Aziz
1764012138196,1764012138636,83,440,-61,A72Aziz
1764012138492,1764012138863,84,371,-61,A72Aziz
1764012139084,1764012139419,86,335,-66,A72Aziz
1764012139381,1764012139704,87,323,-66,A72Aziz
1764012139674,1764012139984,88,310,-66,A72Aziz
1764012140861,1764012141390,92,529,-61,A72Aziz
1764012141157,1764012141669,93,512,-61,A72Aziz
1764012141454,1764012141956,94,502,-60,A72Aziz
1764012141750,1764012142436,95,686,-63,A72Aziz
1764012142046,1764012142550,96,504,-62,A72Aziz
1764012142343,1764012142799,97,456,-61,A72Aziz
1764012142645,1764012142077,98,-568,-61,A72Aziz
1764012142939,1764012143359,99,420,-61,A72Aziz
1764012143532,1764012143936,101,404,-62,A72Aziz
1764012143828,1764012144200,102,372,-63,A72Aziz
1764012144122,1764012144483,103,361,-63,A72Aziz
1764012144418,1764012144763,104,345,-63,A72Aziz
1764012144707,1764012144048,105,-659,-64,A72Aziz
1764012145000,1764012145323,106,323,-60,A72Aziz
1764012145295,1764012145636,107,341,-60,A72Aziz
1764012146491,1764012146024,111,-467,-60,A72Aziz
1764012146790,1764012147292,112,502,-60,A72Aziz
1764012147081,1764012147581,113,500,-60,A72Aziz
1764012147375,1764012147854,114,479,-60,A72Aziz
1764012147968,1764012148426,116,458,-64,A72Aziz
1764012148263,1764012148718,117,455,-63,A72Aziz
1764012148556,1764012148987,118,431,-64,A72Aziz
1764012148848,1764012149267,119,419,-65,A72Aziz
1764012149142,1764012149544,120,402,-65,A72Aziz
1764012149436,1764012149829,121,393,-62,A72Aziz
1764012149731,1764012149105,122,-626,-62,A72Aziz
1764012150028,1764012150391,123,363,-61,A72Aziz
1764012150319,1764012150667,124,348,-61,A72Aziz
1764012150610,1764012150951,125,341,-61,A72Aziz
1764012150906,1764012151229,126,323,-60,A72Aziz
1764012151201,1764012151510,127,309,-61,A72Aziz
1764012151499,1764012151796,128,297,-61,A72Aziz
1764012152958,1764012153481,133,523,-66,A72Aziz
1764012153256,1764012153844,134,588,-66,A72Aziz
1764012153551,1764012153131,135,-420,-65,A72Aziz
1764012153851,1764012154329,136,478,-60,A72Aziz
1764012154147,1764012154610,137,463,-60,A72Aziz
1764012154444,1764012154892,138,448,-60,A72Aziz
1764012154742,1764012155175,139,433,-60,A72Aziz
1764012155039,1764012155452,140,413,-60,A72Aziz
1764012155338,1764012155736,141,398,-62,A72Aziz
