tx_unix_ms(phone),rx_unix_ms(esp32),payload_counter,delta_ms,rssi_dbm,tx_device_name
1764014302921,1764014303806,0,885,-78,A72Aziz
1764014303477,1764014303377,2,-100,-79,A72Aziz
1764014303768,1764014304656,3,888,-88,A72Aziz
1764014304062,1764014304937,4,875,-80,A72Aziz
1764014304359,1764014304221,5,-138,-78,A72Aziz
1764014304653,1764014305525,6,872,-80,A72Aziz
1764014304943,1764014305773,7,830,-88,A72Aziz
1764014305238,1764014305056,8,-182,-87,A72Aziz
1764014305825,1764014306618,10,793,-80,A72Aziz
1764014306119,1764014306909,11,790,-80,A72Aziz
1764014306415,1764014306216,12,-199,-80,A72Aziz
1764014307894,1764014308872,17,978,-80,A72Aziz
1764014308189,1764014308155,18,-34,-86,A72Aziz
1764014308489,1764014308438,19,-51,-80,A72Aziz
1764014309081,1764014309028,21,-53,-79,A72Aziz
1764014309376,1764014309282,22,-94,-85,A72Aziz
1764014309672,1764014310563,23,891,-87,A72Aziz
1764014309968,1764014310841,24,873,-78,A72Aziz
1764014310265,1764014310119,25,-146,-77,A72Aziz
1764014310561,1764014310410,26,-151,-78,A72Aziz
1764014310855,1764014311721,27,866,-79,A72Aziz
1764014311150,1764014311965,28,815,-79,A72Aziz
1764014311443,1764014311254,29,-189,-78,A72Aziz
1764014311737,1764014312541,30,804,-78,A72Aziz
1764014312031,1764014312810,31,779,-81,A72Aziz
1764014312327,1764014312094,32,-233,-78,A72Aziz
1764014313514,1764014313500,36,-14,-76,A72Aziz
1764014313810,1764014314778,37,968,-78,A72Aziz
1764014314104,1764014314250,38,146,-77,A72Aziz
1764014314399,1764014314364,39,-35,-75,A72Aziz
1764014314691,1764014315623,40,932,-79,A72Aziz
1764014315280,1764014315205,42,-75,-76,A72Aziz
1764014315571,1764014315468,43,-103,-79,A72Aziz
1764014315867,1764014316746,44,879,-78,A72Aziz
1764014316159,1764014316032,45,-127,-77,A72Aziz
1764014316450,1764014316309,46,-141,-78,A72Aziz
1764014316739,1764014317588,47,849,-77,A72Aziz
