tx_unix_ms(phone),rx_unix_ms(esp32),payload_counter,delta_ms,rssi_dbm,tx_device_name
1764014437648,1764014438520,1,872,-85,A72Aziz
1764014437928,1764014438814,2,886,-91,A72Aziz
1764014438226,1764014438080,3,-146,-88,A72Aziz
1764014438522,1764014438365,4,-157,-91,A72Aziz
1764014439355,1764014439208,7,-147,-97,A72Aziz
1764014439626,1764014440768,8,1142,-94,A72Aziz
1764014439891,1764014440882,9,991,-89,A72Aziz
1764014441506,1764014441458,15,-48,-92,A72Aziz
1764014443121,1764014443868,21,747,-89,A72Aziz
1764014443389,1764014443151,22,-238,-97,A72Aziz
1764014443924,1764014444711,24,787,-95,A72Aziz
1764014444194,1764014444991,25,797,-94,A72Aziz
1764014444737,1764014445639,27,902,-90,A72Aziz
1764014445012,1764014445837,28,825,-93,A72Aziz
1764014445605,1764014445396,30,-209,-86,A72Aziz
1764014445902,1764014446774,31,872,-94,A72Aziz
1764014446197,1764014446956,32,759,-89,A72Aziz
1764014448844,1764014449769,41,925,-89,A72Aziz
1764014449135,1764014449052,42,-83,-95,A72Aziz
1764014450045,1764014450070,45,25,-87,A72Aziz
1764014450626,1764014450465,47,-161,-87,A72Aziz
1764014450909,1764014451931,48,1022,-96,A72Aziz
1764014451199,1764014451045,49,-154,-93,A72Aziz
1764014451485,1764014451299,50,-186,-87,A72Aziz
1764014451777,1764014452579,51,802,-86,A72Aziz
1764014452070,1764014452082,52,12,-94,A72Aziz
1764014452365,1764014452196,53,-169,-87,A72Aziz
1764014452658,1764014452422,54,-236,-93,A72Aziz
1764014452957,1764014453937,55,980,-86,A72Aziz
1764014454135,1764014454111,59,-24,-82,A72Aziz
1764014454433,1764014454394,60,-39,-88,A72Aziz
1764014454736,1764014455678,61,942,-90,A72Aziz
1764014455031,1764014455966,62,935,-91,A72Aziz
1764014455330,1764014455237,63,-93,-92,A72Aziz
1764014455919,1764014456804,65,885,-90,A72Aziz
1764014456214,1764014456079,66,-135,-87,A72Aziz
1764014456509,1764014456370,67,-139,-89,A72Aziz
1764014456802,1764014457644,68,842,-85,A72Aziz
1764014457097,1764014457924,69,827,-84,A72Aziz
1764014457393,1764014457211,70,-182,-84,A72Aziz
1764014457690,1764014457492,71,-198,-94,A72Aziz
1764014457987,1764014458773,72,786,-88,A72Aziz
1764014458283,1764014458055,73,-228,-83,A72Aziz
1764014458578,1764014458333,74,-245,-83,A72Aziz
1764014460054,1764014460020,79,-34,-86,A72Aziz
1764014460340,1764014460304,80,-36,-92,A72Aziz
1764014460633,1764014461587,81,954,-90,A72Aziz
1764014460929,1764014461865,82,936,-87,A72Aziz
1764014461224,1764014461148,83,-76,-88,A72Aziz
1764014461522,1764014461425,84,-97,-88,A72Aziz
1764014461819,1764014462711,85,892,-90,A72Aziz
1764014462405,1764014462267,87,-138,-89,A72Aziz
1764014462701,1764014463552,88,851,-89,A72Aziz
1764014462995,1764014463830,89,835,-91,A72Aziz
1764014463291,1764014463116,90,-175,-88,A72Aziz
1764014463582,1764014463390,91,-192,-94,A72Aziz
1764014463878,1764014464678,92,800,-91,A72Aziz
1764014464177,1764014464961,93,784,-90,A72Aziz
1764014464474,1764014464242,94,-232,-84,A72Aziz
1764014464767,1764014465534,95,767,-84,A72Aziz
1764014465062,1764014465805,96,743,-96,A72Aziz
1764014466510,1764014466488,101,-22,-91,A72Aziz
1764014467099,1764014467054,103,-45,-85,A72Aziz
