tx_unix_ms(phone),rx_unix_ms(esp32),payload_counter,delta_ms,rssi_dbm,tx_device_name
1764014666733,1764014666470,1,-263,-88,A72Aziz
1764014667003,1764014667734,2,731,-86,A72Aziz
1764014667273,1764014667017,3,-256,-88,A72Aziz
1764014667542,1764014667288,4,-254,-88,A72Aziz
1764014667813,1764014668577,5,764,-88,A72Aziz
1764014668081,1764014668852,6,771,-86,A72Aziz
1764014668613,1764014668420,8,-193,-84,A72Aziz
1764014668881,1764014669698,9,817,-84,A72Aziz
1764014669149,1764014669983,10,834,-87,A72Aziz
1764014669691,1764014670540,12,849,-85,A72Aziz
1764014669961,1764014670819,13,858,-83,A72Aziz
1764014670253,1764014670108,14,-145,-86,A72Aziz
1764014670543,1764014670387,15,-156,-85,A72Aziz
1764014670837,1764014671665,16,828,-87,A72Aziz
1764014671422,1764014671235,18,-187,-85,A72Aziz
1764014671719,1764014672516,19,797,-85,A72Aziz
1764014672014,1764014672794,20,780,-82,A72Aziz
1764014672307,1764014672075,21,-232,-87,A72Aziz
1764014672599,1764014672351,22,-248,-86,A72Aziz
1764014674079,1764014674042,27,-37,-92,A72Aziz
1764014674375,1764014674322,28,-53,-88,A72Aziz
1764014674670,1764014675612,29,942,-85,A72Aziz
1764014675263,1764014675168,31,-95,-87,A72Aziz
1764014675558,1764014675448,32,-110,-90,A72Aziz
1764014675851,1764014676736,33,885,-88,A72Aziz
1764014676146,1764014676007,34,-139,-86,A72Aziz
1764014676439,1764014676294,35,-145,-89,A72Aziz
1764014677025,1764014677858,37,833,-83,A72Aziz
1764014677611,1764014677420,39,-191,-83,A72Aziz
1764014678197,1764014678982,41,785,-84,A72Aziz
1764014678495,1764014678465,42,-30,-84,A72Aziz
1764014678788,1764014679579,43,791,-83,A72Aziz
1764014679085,1764014679824,44,739,-81,A72Aziz
1764014680560,1764014681514,49,954,-83,A72Aziz
1764014680853,1764014681794,50,941,-80,A72Aziz
1764014681144,1764014681074,51,-70,-81,A72Aziz
1764014681428,1764014681357,52,-71,-81,A72Aziz
1764014682306,1764014682203,55,-103,-81,A72Aziz
1764014682601,1764014682481,56,-120,-83,A72Aziz
1764014683491,1764014683328,59,-163,-83,A72Aziz
1764014683785,1764014684603,60,818,-82,A72Aziz
