tx_unix_ms(phone),rx_unix_ms(esp32),payload_counter,delta_ms,rssi_dbm,tx_device_name
1764012706789,1764012707249,0,460,-72,A72Aziz
1764012707068,1764012707524,1,456,-70,A72Aziz
1764012707340,1764012707803,2,463,-71,A72Aziz
1764012707634,1764012707087,3,-547,-72,A72Aziz
1764012707926,1764012708363,4,437,-72,A72Aziz
1764012708219,1764012708645,5,426,-71,A72Aziz
1764012708517,1764012708930,6,413,-71,A72Aziz
1764012708810,1764012709399,7,589,-72,A72Aziz
1764012709104,1764012709513,8,409,-73,A72Aziz
1764012709400,1764012709774,9,374,-74,A72Aziz
1764012709694,1764012709055,10,-639,-74,A72Aziz
1764012710004,1764012710340,11,336,-75,A72Aziz
1764012710303,1764012710617,12,314,-72,A72Aziz
1764012710598,1764012710897,13,299,-71,A72Aziz
1764012710895,1764012711183,14,288,-72,A72Aziz
1764012712080,1764012712586,18,506,-72,A72Aziz
1764012712374,1764012712862,19,488,-72,A72Aziz
1764012712666,1764012712146,20,-520,-71,A72Aziz
1764012713250,1764012713708,22,458,-73,A72Aziz
1764012713548,1764012713996,23,448,-73,A72Aziz
1764012713842,1764012714273,24,431,-73,A72Aziz
1764012714138,1764012714553,25,415,-74,A72Aziz
1764012714432,1764012714839,26,407,-73,A72Aziz
1764012714727,1764012714116,27,-611,-71,A72Aziz
1764012715316,1764012715723,29,407,-70,A72Aziz
1764012715614,1764012715959,30,345,-71,A72Aziz
1764012715907,1764012716238,31,331,-71,A72Aziz
1764012716200,1764012716517,32,317,-71,A72Aziz
1764012716493,1764012716809,33,316,-72,A72Aziz
1764012716787,1764012716086,34,-701,-71,A72Aziz
1764012717079,1764012717361,35,282,-72,A72Aziz
1764012717372,1764012717648,36,276,-72,A72Aziz
1764012718261,1764012718772,39,511,-73,A72Aziz
1764012718558,1764012718057,40,-501,-73,A72Aziz
1764012718851,1764012719459,41,608,-72,A72Aziz
1764012719148,1764012719614,42,466,-71,A72Aziz
1764012719445,1764012719894,43,449,-70,A72Aziz
1764012719742,1764012720179,44,437,-71,A72Aziz
1764012720037,1764012720454,45,417,-70,A72Aziz
1764012720332,1764012720819,46,487,-70,A72Aziz
1764012720625,1764012720023,47,-602,-71,A72Aziz
1764012720919,1764012721323,48,404,-72,A72Aziz
1764012721216,1764012721581,49,365,-71,A72Aziz
1764012721513,1764012721862,50,349,-71,A72Aziz
1764012721810,1764012721148,51,-662,-70,A72Aziz
1764012722105,1764012722428,52,323,-70,A72Aziz
1764012722395,1764012722824,53,429,-73,A72Aziz
1764012722689,1764012722123,54,-566,-73,A72Aziz
1764012722987,1764012723323,55,336,-74,A72Aziz
1764012723285,1764012723577,56,292,-73,A72Aziz
1764012724170,1764012724681,59,511,-72,A72Aziz
1764012724466,1764012724956,60,490,-72,A72Aziz
1764012724765,1764012725242,61,477,-72,A72Aziz
1764012725060,1764012725523,62,463,-72,A72Aziz
1764012725357,1764012725800,63,443,-72,A72Aziz
1764012725652,1764012725081,64,-571,-72,A72Aziz
1764012725946,1764012726366,65,420,-73,A72Aziz
1764012726242,1764012726640,66,398,-73,A72Aziz
1764012726537,1764012726931,67,394,-72,A72Aziz
1764012726834,1764012727493,68,659,-72,A72Aziz
1764012727129,1764012727769,69,640,-73,A72Aziz
1764012727414,1764012727882,70,468,-73,A72Aziz
1764012727707,1764012727053,71,-654,-73,A72Aziz
1764012728000,1764012728344,72,344,-72,A72Aziz
1764012728295,1764012728616,73,321,-71,A72Aziz
1764012728591,1764012728899,74,308,-70,A72Aziz
1764012728887,1764012729180,75,293,-71,A72Aziz
1764012729182,1764012729457,76,275,-72,A72Aziz
1764012730068,1764012730579,79,511,-71,A72Aziz
1764012730365,1764012730866,80,501,-72,A72Aziz
1764012730657,1764012730150,81,-507,-71,A72Aziz
1764012730949,1764012731429,82,480,-72,A72Aziz
1764012731248,1764012731704,83,456,-73,A72Aziz
1764012731546,1764012731073,84,-473,-72,A72Aziz
1764012731840,1764012732277,85,437,-73,A72Aziz
1764012732136,1764012732555,86,419,-72,A72Aziz
1764012732429,1764012732838,87,409,-72,A72Aziz
1764012732722,1764012732123,88,-599,-71,A72Aziz
1764012733019,1764012733423,89,404,-72,A72Aziz
1764012733316,1764012733679,90,363,-72,A72Aziz
1764012733613,1764012733974,91,361,-71,A72Aziz
1764012733904,1764012734244,92,340,-70,A72Aziz
1764012734197,1764012734523,93,326,-72,A72Aziz
1764012734490,1764012734824,94,334,-70,A72Aziz
1764012734786,1764012734088,95,-698,-71,A72Aziz
1764012735079,1764012735360,96,281,-70,A72Aziz
1764012735374,1764012735641,97,267,-71,A72Aziz
1764012736556,1764012736065,101,-491,-73,A72Aziz
1764012736851,1764012737339,102,488,-72,A72Aziz
1764012737147,1764012737613,103,466,-72,A72Aziz
1764012737440,1764012737905,104,465,-73,A72Aziz
1764012737736,1764012738179,105,443,-73,A72Aziz
1764012738030,1764012738455,106,425,-73,A72Aziz
1764012738325,1764012738735,107,410,-72,A72Aziz
1764012738619,1764012738022,108,-597,-72,A72Aziz
1764012738913,1764012739305,109,392,-72,A72Aziz
1764012739209,1764012739582,110,373,-73,A72Aziz
1764012739511,1764012739866,111,355,-73,A72Aziz
1764012739808,1764012739146,112,-662,-73,A72Aziz
1764012740395,1764012740710,114,315,-74,A72Aziz
1764012740691,1764012740987,115,296,-74,A72Aziz
1764012740987,1764012741270,116,283,-72,A72Aziz
1764012741281,1764012741554,117,273,-73,A72Aziz
1764012742459,1764012742954,121,495,-74,A72Aziz
1764012742756,1764012743238,122,482,-73,A72Aziz
1764012743050,1764012743523,123,473,-74,A72Aziz
1764012743343,1764012743805,124,462,-74,A72Aziz
1764012743626,1764012743086,125,-540,-74,A72Aziz
1764012743923,1764012744359,126,436,-73,A72Aziz
1764012744218,1764012744652,127,434,-74,A72Aziz
1764012744513,1764012744922,128,409,-76,A72Aziz
1764012744808,1764012745210,129,402,-77,A72Aziz
1764012745104,1764012745492,130,388,-76,A72Aziz
1764012745397,1764012745817,131,420,-77,A72Aziz
1764012745691,1764012745058,132,-633,-77,A72Aziz
1764012745989,1764012746391,133,402,-78,A72Aziz
1764012746283,1764012746616,134,333,-76,A72Aziz
1764012746578,1764012746900,135,322,-76,A72Aziz
1764012746875,1764012747173,136,298,-74,A72Aziz
1764012747171,1764012747464,137,293,-74,A72Aziz
1764012748051,1764012748298,140,247,-74,A72Aziz
1764012749210,1764012749705,144,495,-73,A72Aziz
1764012749502,1764012749992,145,490,-73,A72Aziz
1764012749793,1764012750273,146,480,-73,A72Aziz
1764012750089,1764012750554,147,465,-74,A72Aziz
1764012750383,1764012750969,148,586,-76,A72Aziz
1764012750677,1764012750115,149,-562,-73,A72Aziz
1764012750973,1764012751391,150,418,-74,A72Aziz
1764012751270,1764012751677,151,407,-74,A72Aziz
1764012751565,1764012751961,152,396,-74,A72Aziz
1764012751861,1764012752238,153,377,-74,A72Aziz
1764012752158,1764012752514,154,356,-76,A72Aziz
1764012752451,1764012752798,155,347,-77,A72Aziz
1764012752747,1764012752083,156,-664,-78,A72Aziz
1764012753042,1764012753372,157,330,-77,A72Aziz
1764012753338,1764012753645,158,307,-79,A72Aziz
1764012753927,1764012754323,160,396,-79,A72Aziz
1764012754222,1764012754623,161,401,-80,A72Aziz
1764012755388,1764012755893,165,505,-77,A72Aziz
1764012755680,1764012756185,166,505,-77,A72Aziz
1764012755978,1764012756460,167,482,-77,A72Aziz
1764012756272,1764012756741,168,469,-75,A72Aziz
1764012756571,1764012756020,169,-551,-75,A72Aziz
1764012756867,1764012757305,170,438,-75,A72Aziz
1764012757167,1764012757623,171,456,-75,A72Aziz
1764012757462,1764012757861,172,399,-76,A72Aziz
1764012757757,1764012758155,173,398,-74,A72Aziz
1764012758056,1764012758426,174,370,-75,A72Aziz
1764012758351,1764012758702,175,351,-77,A72Aziz
1764012758648,1764012758994,176,346,-77,A72Aziz
1764012758946,1764012759286,177,340,-77,A72Aziz
1764012759237,1764012759555,178,318,-77,A72Aziz
1764012759521,1764012759830,179,309,-79,A72Aziz
1764012759817,1764012759114,180,-703,-78,A72Aziz
1764012760113,1764012760390,181,277,-78,A72Aziz
1764012760407,1764012760677,182,270,-81,A72Aziz
1764012761584,1764012761082,186,-502,-73,A72Aziz
1764012761881,1764012762365,187,484,-72,A72Aziz
1764012762178,1764012762641,188,463,-73,A72Aziz
1764012762474,1764012762932,189,458,-74,A72Aziz
1764012762767,1764012763207,190,440,-75,A72Aziz
1764012763360,1764012763765,192,405,-77,A72Aziz
1764012763653,1764012763050,193,-603,-77,A72Aziz
1764012763950,1764012764335,194,385,-76,A72Aziz
1764012764246,1764012764686,195,440,-77,A72Aziz
1764012764541,1764012764903,196,362,-77,A72Aziz
1764012764838,1764012765176,197,338,-79,A72Aziz
1764012765133,1764012765547,198,414,-82,A72Aziz
1764012765427,1764012765738,199,311,-84,A72Aziz
1764012765723,1764012765019,200,-704,-85,A72Aziz
