tx_unix_ms(phone),rx_unix_ms(esp32),payload_counter,delta_ms,rssi_dbm,tx_device_name
1764012512693,1764012513467,0,774,-70,A72Aziz
1764012512969,1764012513580,1,611,-69,A72Aziz
1764012513244,1764012513753,2,509,-70,A72Aziz
1764012513535,1764012513033,3,-502,-70,A72Aziz
1764012513822,1764012514309,4,487,-70,A72Aziz
1764012514114,1764012514598,5,484,-70,A72Aziz
1764012514405,1764012514874,6,469,-70,A72Aziz
1764012514693,1764012515154,7,461,-74,A72Aziz
1764012514984,1764012515436,8,452,-73,A72Aziz
1764012515271,1764012515717,9,446,-71,A72Aziz
1764012515568,1764012515994,10,426,-72,A72Aziz
1764012515865,1764012516276,11,411,-72,A72Aziz
1764012516454,1764012516847,13,393,-68,A72Aziz
1764012516747,1764012516121,14,-626,-72,A72Aziz
1764012517044,1764012517478,15,434,-69,A72Aziz
1764012517339,1764012517764,16,425,-68,A72Aziz
1764012517635,1764012517047,17,-588,-69,A72Aziz
1764012517932,1764012518247,18,315,-69,A72Aziz
1764012518226,1764012518537,19,311,-70,A72Aziz
1764012518523,1764012518814,20,291,-69,A72Aziz
1764012519414,1764012519932,23,518,-76,A72Aziz
1764012520003,1764012520502,25,499,-75,A72Aziz
1764012520297,1764012520780,26,483,-75,A72Aziz
1764012520590,1764012520063,27,-527,-75,A72Aziz
1764012520881,1764012521494,28,613,-68,A72Aziz
1764012521176,1764012521780,29,604,-69,A72Aziz
1764012521469,1764012521911,30,442,-70,A72Aziz
1764012521762,1764012522189,31,427,-69,A72Aziz
1764012522058,1764012522472,32,414,-70,A72Aziz
1764012522356,1764012522750,33,394,-67,A72Aziz
1764012522651,1764012522031,34,-620,-68,A72Aziz
1764012522950,1764012523325,35,375,-69,A72Aziz
1764012523248,1764012523591,36,343,-69,A72Aziz
1764012523545,1764012523872,37,327,-69,A72Aziz
1764012523844,1764012524165,38,321,-68,A72Aziz
1764012524141,1764012524430,39,289,-71,A72Aziz
1764012524435,1764012524720,40,285,-70,A72Aziz
1764012525324,1764012525838,43,514,-69,A72Aziz
1764012525614,1764012525129,44,-485,-69,A72Aziz
1764012525909,1764012526636,45,727,-69,A72Aziz
1764012526206,1764012526749,46,543,-68,A72Aziz
1764012526502,1764012526963,47,461,-68,A72Aziz
1764012526799,1764012527257,48,458,-68,A72Aziz
1764012527094,1764012527530,49,436,-68,A72Aziz
1764012527389,1764012527857,50,468,-67,A72Aziz
1764012527686,1764012527091,51,-595,-67,A72Aziz
1764012527982,1764012528372,52,390,-68,A72Aziz
1764012528270,1764012528652,53,382,-72,A72Aziz
1764012528568,1764012528944,54,376,-71,A72Aziz
1764012528864,1764012529214,55,350,-72,A72Aziz
1764012529157,1764012529494,56,337,-71,A72Aziz
1764012529452,1764012529781,57,329,-71,A72Aziz
1764012529747,1764012529064,58,-683,-71,A72Aziz
1764012530041,1764012530376,59,335,-70,A72Aziz
1764012530334,1764012530629,60,295,-72,A72Aziz
1764012531523,1764012531057,64,-466,-71,A72Aziz
1764012531816,1764012532307,65,491,-70,A72Aziz
1764012532109,1764012532657,66,548,-71,A72Aziz
1764012532401,1764012532876,67,475,-71,A72Aziz
1764012532697,1764012533232,68,535,-73,A72Aziz
1764012532993,1764012533436,69,443,-72,A72Aziz
1764012533285,1764012533720,70,435,-72,A72Aziz
1764012533579,1764012533001,71,-578,-73,A72Aziz
1764012533877,1764012534275,72,398,-73,A72Aziz
1764012534171,1764012534565,73,394,-73,A72Aziz
1764012534462,1764012534968,74,506,-72,A72Aziz
1764012534755,1764012534129,75,-626,-73,A72Aziz
1764012535049,1764012535400,76,351,-73,A72Aziz
1764012535344,1764012535688,77,344,-73,A72Aziz
1764012535642,1764012535124,78,-518,-71,A72Aziz
1764012535936,1764012536244,79,308,-69,A72Aziz
1764012536233,1764012536557,80,324,-69,A72Aziz
1764012536526,1764012536857,81,331,-69,A72Aziz
1764012537994,1764012538500,86,506,-69,A72Aziz
1764012538290,1764012538780,87,490,-71,A72Aziz
1764012538884,1764012539347,89,463,-70,A72Aziz
1764012539174,1764012539632,90,458,-72,A72Aziz
1764012539468,1764012539905,91,437,-72,A72Aziz
1764012539765,1764012540182,92,417,-73,A72Aziz
1764012540061,1764012540731,93,670,-72,A72Aziz
1764012540345,1764012540845,94,500,-72,A72Aziz
1764012540639,1764012540024,95,-615,-71,A72Aziz
1764012540932,1764012541357,96,425,-72,A72Aziz
1764012541228,1764012541596,97,368,-74,A72Aziz
1764012541523,1764012541877,98,354,-75,A72Aziz
1764012541819,1764012541152,99,-667,-73,A72Aziz
1764012542115,1764012542431,100,316,-76,A72Aziz
1764012542409,1764012542714,101,305,-76,A72Aziz
1764012542705,1764012542041,102,-664,-77,A72Aziz
1764012543000,1764012543288,103,288,-77,A72Aziz
1764012544178,1764012544761,107,583,-73,A72Aziz
1764012544474,1764012544967,108,493,-71,A72Aziz
1764012545066,1764012545528,110,462,-69,A72Aziz
1764012545361,1764012545857,111,496,-68,A72Aziz
1764012545657,1764012545093,112,-564,-69,A72Aziz
1764012545952,1764012546370,113,418,-68,A72Aziz
1764012546249,1764012546656,114,407,-71,A72Aziz
1764012546544,1764012546939,115,395,-71,A72Aziz
1764012546839,1764012547218,116,379,-72,A72Aziz
1764012547136,1764012547493,117,357,-71,A72Aziz
1764012547430,1764012547783,118,353,-71,A72Aziz
1764012547725,1764012547060,119,-665,-67,A72Aziz
1764012548021,1764012548344,120,323,-67,A72Aziz
1764012548316,1764012548627,121,311,-69,A72Aziz
1764012548610,1764012548912,122,302,-68,A72Aziz
1764012550095,1764012550593,127,498,-69,A72Aziz
1764012550391,1764012550878,128,487,-69,A72Aziz
1764012550683,1764012551335,129,652,-69,A72Aziz
1764012550978,1764012551450,130,472,-70,A72Aziz
1764012551272,1764012551717,131,445,-70,A72Aziz
1764012551561,1764012551006,132,-555,-70,A72Aziz
1764012551856,1764012552307,133,451,-71,A72Aziz
1764012552149,1764012552560,134,411,-70,A72Aziz
1764012552446,1764012552845,135,399,-68,A72Aziz
1764012552745,1764012552124,136,-621,-67,A72Aziz
1764012553042,1764012553404,137,362,-68,A72Aziz
1764012553339,1764012553680,138,341,-69,A72Aziz
1764012553638,1764012553964,139,326,-70,A72Aziz
1764012553931,1764012554243,140,312,-70,A72Aziz
1764012554230,1764012554526,141,296,-69,A72Aziz
1764012555412,1764012555934,145,522,-71,A72Aziz
1764012555710,1764012556218,146,508,-71,A72Aziz
1764012556005,1764012556496,147,491,-69,A72Aziz
1764012556299,1764012556787,148,488,-69,A72Aziz
1764012556597,1764012556063,149,-534,-67,A72Aziz
1764012556899,1764012557346,150,447,-67,A72Aziz
1764012557192,1764012557617,151,425,-67,A72Aziz
1764012557788,1764012558186,153,398,-70,A72Aziz
1764012558083,1764012558461,154,378,-69,A72Aziz
1764012558380,1764012558755,155,375,-70,A72Aziz
1764012558673,1764012558026,156,-647,-70,A72Aziz
1764012558971,1764012559312,157,341,-70,A72Aziz
1764012559265,1764012559594,158,329,-71,A72Aziz
1764012559563,1764012559870,159,307,-71,A72Aziz
1764012559863,1764012560223,160,360,-70,A72Aziz
1764012560146,1764012560445,161,299,-72,A72Aziz
1764012560428,1764012560721,162,293,-72,A72Aziz
1764012560711,1764012560997,163,286,-72,A72Aziz
1764012560994,1764012561273,164,279,-70,A72Aziz
1764012561277,1764012561606,165,329,-68,A72Aziz
1764012561560,1764012561883,166,323,-71,A72Aziz
1764012561841,1764012561126,167,-715,-72,A72Aziz
1764012562121,1764012562404,168,283,-75,A72Aziz
1764012562400,1764012562706,169,306,-74,A72Aziz
1764012562688,1764012562962,170,274,-75,A72Aziz
1764012563568,1764012564246,173,678,-72,A72Aziz
1764012563862,1764012564380,174,518,-73,A72Aziz
1764012564163,1764012564817,175,654,-72,A72Aziz
1764012564455,1764012564099,176,-356,-72,A72Aziz
1764012564745,1764012565219,177,474,-73,A72Aziz
1764012565038,1764012565500,178,462,-74,A72Aziz
1764012565333,1764012565778,179,445,-74,A72Aziz
1764012565629,1764012565106,180,-523,-72,A72Aziz
1764012565926,1764012566349,181,423,-73,A72Aziz
1764012566222,1764012566619,182,397,-73,A72Aziz
1764012566516,1764012566897,183,381,-77,A72Aziz
